"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"miracle on 34th street",1947,"approved",96,"comedy, drama, family",7.9,NA,"when a nice old man who claims to be santa claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing.","george seaton","edmund gwenn, maureen o'hara, john payne, gene lockhart",32870,NA
"2",2,"out of the past",1947,"not rated",97,"crime, drama, film-noir",8.1,NA,"a private eye escapes his past to run a gas station in a small town, but his past catches up with him. now he must return to the big city world of danger, corruption, double crosses and duplicitous dames.","jacques tourneur","robert mitchum, jane greer, kirk douglas, rhonda fleming",25967,NA
"3",3,"angel and the badman",1947,"approved",100,"romance, western",7,NA,"quirt evans, an all round bad guy, is nursed back to health and sought after by penelope worth, a quaker girl. he eventually finds himself having to choose between his world and the world penelope lives in.","james edward grant","john wayne, gail russell, harry carey, bruce cabot",4216,NA
"4",4,"the ghost and mrs. muir",1947,"not rated",104,"comedy, drama, fantasy",7.9,NA,"in 1900, a young widow finds her seaside cottage is haunted...and forms a unique relationship with the ghost.","joseph l. mankiewicz","gene tierney, rex harrison, george sanders, edna best",12788,NA
"5",5,"they won't believe me",1947,"approved",95,"drama, film-noir, romance",7.2,NA,"on trial for murdering his girlfriend, philandering stockbroker larry ballentine takes the stand to claim his innocence and describe the actual, but improbable sounding, sequence of events that led to her death.","irving pichel","robert young, susan hayward, jane greer, rita johnson",1549,NA
"6",6,"black narcissus",1947,"not rated",101,"drama",8,NA,"after opening a convent in the himalayas, five nuns encounter conflict and tension - both with the natives and also within their own group - as they attempt to adapt to their remote, exotic surroundings.","michael powell, emeric pressburger","deborah kerr, david farrar, flora robson, jenny laird",17192,NA
"7",7,"the lady from shanghai",1947,"not rated",87,"crime, drama, film-noir",7.7,NA,"fascinated by gorgeous mrs. bannister, seaman michael o'hara joins a bizarre yachting cruise, and ends up mired in a complex murder plot.","orson welles","rita hayworth, orson welles, everett sloane, glenn anders",21112,NA
"8",8,"dark passage",1947,"approved",106,"film-noir, thriller",7.6,NA,"a man convicted of murdering his wife escapes from prison and works with a woman to try and prove his innocence.","delmer daves","humphrey bogart, lauren bacall, bruce bennett, agnes moorehead",14108,NA
"9",9,"the bishop's wife",1947,"not rated",109,"comedy, drama, fantasy",7.6,NA,"an angel in human form enters the life of a bishop in order to help him build a new cathedral and repair his fractured marriage.","henry koster","cary grant, loretta young, david niven, monty woolley",10924,NA
"10",10,"the paradine case",1947,"approved",125,"crime, drama, romance",6.5,NA,"a happily married london barrister falls in love with the accused poisoner he is defending.","alfred hitchcock","gregory peck, ann todd, charles laughton, charles coburn",8295,NA
"11",11,"gentleman's agreement",1947,"approved",118,"drama, romance",7.4,NA,"a reporter pretends to be jewish in order to cover a story on anti-semitism, and personally discovers the true depths of bigotry and hatred.","elia kazan","gregory peck, dorothy mcguire, john garfield, celeste holm",12138,NA
"12",12,"fun & fancy free",1947,"approved",73,"animation, adventure, comedy",6.7,NA,NA,NA,"edgar bergen, dinah shore, charlie mccarthy, mortimer snerd",5039,NA
"13",13,"the secret life of walter mitty",1947,"approved",110,"comedy, fantasy, romance",7.1,NA,"a clumsy daydreamer gets caught up in a sinister conspiracy.","norman z. mcleod","danny kaye, virginia mayo, boris karloff, fay bainter",4794,NA
